imdb_id,studio,country
tt0120338,20th Century Fox,US
tt0120587,DreamWorks Animation,US
tt0120587,Pacific Data Images,US
tt0120587,DreamWorks Pictures,US
tt0118998,20th Century Fox,US
tt0118998,Davis Entertainment,US
tt0118998,Joseph M. Singer Entertainment,
tt0118571,Radiant Productions,
tt0118571,Beacon Communications,
tt0118571,Columbia Pictures,US
tt0118571,Beacon Pictures,
tt0118571,Etalon-Film,RU
tt0118571,Touchstone Pictures,US
tt0086383,Warner Bros. Pictures,US
tt0086383,Malpaso Productions,US
tt0093870,Orion Pictures,US
tt0162661,Paramount,US
tt0162661,Mandalay Pictures,US
tt0162661,American Zoetrope,US
tt0162661,Tim Burton Productions,
tt0162661,Karol Film Productions,
tt0093428,United Artists,US
tt0093428,Eon Productions,GB
tt0093428,Danjaq,US
tt0120812,Roger Birnbaum Productions,
tt0120812,New Line Cinema,US
tt0240772,Village Roadshow Pictures,US
tt0240772,NPV Entertainment,US
tt0240772,Jerry Weintraub Productions,US
tt0240772,Section Eight,US
tt0240772,Warner Bros. Pictures,US
tt0120623,Pixar,US
tt0120623,Walt Disney Pictures,US
tt0074483,Warner Bros. Pictures,US
tt0074483,Malpaso Productions,US
tt0298203,Mikona Productions GmbH & Co. KG,DE
tt0298203,Imagine Entertainment,US
tt0955308,Scott Free Productions,GB
tt0955308,Universal Pictures,US
tt0955308,Imagine Entertainment,US
tt0955308,Relativity Media,US
tt0112462,DC Comics,US
tt0112462,Warner Bros. Pictures,US
tt0112462,DC Entertainment,US
tt0112462,PolyGram Filmed Entertainment,US
tt3554046,Warner Animation Group,US
tt3554046,SpringHill Entertainment,US
tt3554046,Proximity Media,US
tt6334354,DC Entertainment,US
tt6334354,DC Films,US
tt6334354,Atlas Entertainment,US
tt6334354,DC Comics,US
tt6334354,The Safran Company,US
tt6932874,DreamWorks Animation,US
tt6932874,Universal Pictures,US
tt0934706,DC Comics,US
tt0934706,DC Entertainment,US
tt8579674,Universal Pictures,US
tt8579674,DreamWorks Pictures,US
tt8579674,Reliance Entertainment,IN
tt8579674,New Republic Pictures,US
tt8579674,Neal Street Productions,GB
tt8579674,Mogambo Films,ES
tt8579674,Amblin Partners,US
tt8579674,Entertainment One,CA
tt10327252,Blumhouse Productions,US
tt10327252,Platinum Dunes,US
tt10327252,Universal Pictures,US
tt10327252,Perfect World Pictures,CN
tt10327252,Man in A Tree,US
tt0113862,Hollywood Pictures,US
tt0113862,Interscope Communications,
tt0113862,PolyGram Filmed Entertainment,US
tt0113862,The Charlie Mopic Company,
tt1502397,Columbia Pictures,US
tt1502397,2.0 Entertainment,US
tt1502397,Don Simpson/Jerry Bruckheimer Films,US
tt1502397,Overbrook Entertainment,US
tt3794354,Original Film,US
tt3794354,Blur Studios,US
tt3794354,Marza Animation Planet,JP
tt3794354,Paramount,US
tt3794354,SEGA,JP
tt3794354,DJ2 Entertainment,US
tt3794354,Digital Makeup Group,US
tt3794354,Stories International,JP
tt0120737,New Line Cinema,US
tt0120737,WingNut Films,NZ
tt0120737,The Saul Zaentz Company,US
tt6320628,Marvel Studios,US
tt6320628,Columbia Pictures,US
tt6320628,Pascal Pictures,US
tt7069210,New Line Cinema,US
tt7069210,The Safran Company,US
tt7069210,Atomic Monster,US
tt7069210,Warner Bros. Pictures,US
tt0144214,MFP Munich Film Partners GmbH & Company I. Produktions KG,
tt0144214,Paramount,US
tt0144214,Neufeld Rehme Productions,
tt0144214,Krane Entertainment,
tt10665338,Universal Pictures,US
tt10665338,Blumhouse Productions,US
tt10665338,Home Again Productions,
tt10665338,Miramax,US
tt10665338,Rough House Pictures,US
tt10665338,Trancas International Films,US
tt0241527,Warner Bros. Pictures,US
tt0241527,Heyday Films,GB
tt0241527,1492 Pictures,US
tt0112384,Imagine Entertainment,US
tt0112384,Universal Pictures,US
tt0112384,TF1 International,FR
tt0138097,Universal Pictures,US
tt0138097,Miramax,US
tt0138097,Bedford Falls Productions,US
tt9347730,Metro-Goldwyn-Mayer,US
tt9347730,Monkeypaw Productions,US
tt9347730,Bron Studios,CA
tt9347730,Universal Pictures,US
tt9347730,Creative Wealth Media Finance,CA
tt0079817,Winkler Films,US
tt0079817,United Artists,US
tt3228774,Walt Disney Pictures,US
tt4846340,Fox 2000 Pictures,US
tt4846340,Levantine Films,US
tt4846340,Chernin Entertainment,US
tt1690953,Illumination Entertainment,US
tt4520988,Walt Disney Pictures,US
tt4520988,Walt Disney Animation Studios,US
tt5028340,Walt Disney Pictures,US
tt5028340,Marc Platt Productions,US
tt5028340,Lucamar Productions,
tt4779682,Apelles Entertainment,US
tt4779682,Gravity Pictures,CN
tt4779682,Di Bonaventura Pictures,US
tt4779682,Flagship Entertainment Group,CN
tt4779682,Maeday Productions,
tt4779682,Warner Bros. Pictures,US
tt3450958,20th Century Fox,US
tt3450958,TSG Entertainment,US
tt3450958,Chernin Entertainment,US
tt0079588,ITC,GB
tt0079588,The Jim Henson Company,US
tt3778644,Lucasfilm Ltd.,US
tt3778644,Walt Disney Pictures,US
tt3778644,Allison Shearmur Productions,US
tt3778644,Imagine Entertainment,US
tt0115956,Davis Entertainment,US
tt0115956,Fox 2000 Pictures,US
tt0115956,Joseph M. Singer Entertainment,
tt3385516,The Donners' Company,US
tt3385516,Marvel Entertainment,US
tt3385516,Bad Hat Harry Productions,US
tt3385516,TSG Entertainment,US
tt3385516,20th Century Fox,US
tt3385516,Genre Films,US
tt2380307,Pixar,US
tt2380307,Walt Disney Pictures,US
tt0163025,Universal Pictures,US
tt0163025,Amblin Entertainment,US
tt0844471,Sony Pictures Animation,US
tt0844471,Columbia Pictures,US
tt0844471,Sony Pictures,US
