imdb_id,imdb_rating,metacritic_score,title,year,boxOffice,numTickets,boxOfficeAdjusted,ticketPriceAdjusted
tt1160419,8.3,74.0,Dune,2021,84116356,9183008,13591267.73307481,1.4800452894165845
tt5013056,7.8,94.0,Dunkirk,2017,188373161,21000352,32134623.166154895,1.5301945017947745
tt0099487,7.9,74.0,Edward Scissorhands,1990,44856044,10629394,14353934.08,1.35040003973886
tt0397313,7.3,64.0,Eight Below,2006,81612565,12459933,16928555.27898776,1.3586393505476926
tt0319343,7.0,64.0,Elf,2003,170837644,28331284,38835563.537167534,1.3707660950759426
tt0082340,7.2,,Escape from New York,1981,25244700,9080827,11612097.516099356,1.278748897660902
tt0077523,6.3,41.0,Every Which Way but Loose,1978,82672336,35330058,52995087.179487176,1.5000000050802966
tt0116253,6.4,62.0,Executive Decision,1996,56679192,12823346,15110421.75419888,1.1783524950663329
tt3183660,7.3,66.0,Fantastic Beasts and Where to Find Them,2016,222675573,25742841,38793653.832752615,1.506968629948521
tt4123430,6.5,52.0,Fantastic Beasts: The Crimes of Grindelwald,2018,156781859,17209864,26108552.70607827,1.517069089336108
tt0983946,4.9,22.0,Fantasy Island,2020,26441782,2886657,4272383.58377767,1.4800454587357175
tt6806448,6.4,60.0,Fast & Furious Presents: Hobbs & Shaw,2019,173956935,18990932,28452230.127576057,1.498200832248573
tt0083929,7.2,61.0,Fast Times at Ridgemont High,1982,27092880,9215265,11738682.842287695,1.2738301982946443
tt0093010,6.9,67.0,Fatal Attraction,1987,137550694,35179205,50625945.52815605,1.4390872541933808
tt0083943,6.0,44.0,Firefox,1982,45785720,15573374,19837833.62218371,1.2738301682206894
tt0099582,6.6,27.0,Flatliners,1990,61308153,14527998,19618608.96,1.350400031718066
tt0119137,5.3,37.0,Flubber,1997,83134090,18112002,21655141.96405314,1.1956238721734427
tt0322330,6.2,70.0,Freaky Friday,2003,110180505,18272057,25046716.2991589,1.3707660992497397
tt0071521,6.6,,Freebie and the Bean,1974,30000000,16042780,25445292.62086514,1.5860899807181261
tt0073018,6.8,,French Connection II,1975,12000000,5853658,9324009.324009325,1.5928517388630026
tt0068611,7.4,92.0,Frenzy,1972,12600000,7411764,12600000.0,1.7000001619047773
tt2294629,7.4,75.0,Frozen,2013,296691729,36493447,53256458.26602047,1.459343050439178
tt2820852,7.1,,Furious 7,2015,353007020,41875091,62280702.18772054,1.4872971186551103
tt5052448,7.7,85.0,Get Out,2017,175484140,19563449,29935881.951552372,1.5301944944141685
tt0113161,6.9,82.0,Get Shorty,1995,69066951,15877460,18953608.94621295,1.1937431394072446
tt0087332,7.8,71.0,Ghostbusters,1984,220855498,65730802,88911231.07890499,1.3526570249196865
tt0172495,8.5,67.0,Gladiator,2000,186610052,34621530,45315699.8542982,1.3088878467906588
tt0120685,5.4,62.0,Godzilla,1998,136314294,29064881,34970316.57260133,1.2031811371462808
tt0831387,6.4,62.0,Godzilla,2014,200676069,24562554,35448872.81399047,1.4432079340768256
tt5034838,6.4,59.0,Godzilla vs. Kong,2021,100563133,10978507,16248688.479560511,1.4800453722496612
tt2267998,8.099999999999998,79.0,Gone Girl,2014,166197583,20342421,29358343.578872994,1.4432079435811989
tt0187078,6.5,35.0,Gone in 60 Seconds,2000,101643008,18857700,24682614.861583292,1.3088878740028367
tt0077631,7.2,70.0,Grease,1978,153097492,65426279,98139417.94871795,1.4999999915739965
tt1375670,6.0,19.0,Grown Ups,2010,162001186,20532470,31064465.196548417,1.512943410926616
tt2191701,5.4,,Grown Ups 2,2013,133668525,16441392,23993632.202477116,1.4593431141643673
tt2015381,8.0,,Guardians of the Galaxy,2014,333055258,40765637,58833290.58470235,1.4432079298724647
tt0427327,6.7,81.0,Hairspray,2007,118871849,17277885,23975766.23638564,1.387656315364157
tt10665338,5.7,42.0,Halloween Kills,2021,89699535,9792525,14493380.998545807,1.4800453405578038
tt0295297,7.4,63.0,Harry Potter and the Chamber of Secrets,2002,252097945,43390351,58600173.175267324,1.3505346655358312
tt0373889,7.5,71.0,Harry Potter and the Order of the Phoenix,2007,292004738,42442549,58895671.23840258,1.3876563172113574
tt0077663,6.9,72.0,Heaven Can Wait,1978,98800000,42222222,63333333.33333333,1.5000000078947369
tt0071607,5.7,49.0,Herbie Rides Again,1974,31765098,16986683,26942407.12468193,1.586089946146751
tt0119282,7.3,74.0,Hercules,1997,99112101,21593050,25817166.189111747,1.195623878475331
tt0076138,6.1,,Heroes,1977,33000000,14798206,22774327.122153208,1.5389924374720292
tt0164052,5.8,24.0,Hollow Man,2000,73209340,13582437,17777887.32394366,1.3088878913219815
tt2224026,6.6,73.0,Home,2015,177397510,21043595,31298078.687367678,1.4872971413566778
tt5884960,8.4,73.0,Home,2015,177397510,21043595,31298078.687367678,1.4872971413566778
tt5220122,6.3,54.0,Hotel Transylvania 3: Summer Vacation,2018,167500092,18386398,27893437.46877602,1.517069165411084
tt0892769,8.099999999999998,75.0,How to Train Your Dragon,2010,217581231,27576835,41722191.946308725,1.5129434522238947
tt0119345,5.7,52.0,I Know What You Did Last Summer,1997,70426975,15343567,18345135.45194061,1.1956239023129767
tt1667889,6.5,49.0,Ice Age: Continental Drift,2012,161204082,20251769,29357873.24713167,1.4496448802636288
tt2024432,5.7,35.0,Identity Thief,2013,134506920,16544516,24144124.93268713,1.45934307976656
tt0107206,7.2,95.0,In the Line of Fire,1993,102243874,24696587,29593017.076700434,1.1982634311656277
tt0107211,6.0,35.0,Indecent Proposal,1993,106614059,25752188,30857904.196816206,1.198263394039225
tt0116629,7.0,32.0,Independence Day,1996,306169255,69269062,81623368.43508399,1.1783524430442553
tt0077745,7.4,75.0,Invasion of the Body Snatchers,1978,24946533,10660911,15991367.307692308,1.5000000757620346
tt1396484,7.3,,It,2017,327481748,36508556,55865190.71989082,1.5301944760535262
tt0073195,8.0,87.0,Jaws,1975,260000000,126829268,202020202.02020204,1.5928515965274044
tt0077766,5.8,,Jaws 2,1978,102922376,43983921,65975882.05128205,1.5000000125337176
tt1156454,4.2,,Journey to the Center of the Earth,2008,101704370,14164954,19752256.748883277,1.3944455272416187
tt0373051,5.8,,Journey to the Center of the Earth,2008,101704370,14164954,19752256.748883277,1.3944455272416187
tt7975244,6.7,58.0,Jumanji: The Next Level,2019,235933751,25756959,38589098.95322211,1.4982008921636327
tt0369610,7.0,,Jurassic World,2015,652270625,77374926,115079503.35215244,1.4872971038725444
tt4881806,6.2,,Jurassic World: Fallen Kingdom,2018,417719760,45852883,69561991.67360532,1.5170690940764908
tt0074751,5.9,62.0,King Kong,1976,52614445,24701617,38658666.42174871,1.565025739883697
tt8946378,7.9,82.0,Knives Out,2019,130119450,14205180,21282212.95387635,1.498200864323884
tt0093378,6.9,65.0,La Bamba,1987,54215416,13865835,19954146.485093854,1.4390872590863697
tt0107362,6.4,44.0,Last Action Hero,1993,50016394,12081254,14476525.03617945,1.1982634448526162
tt0250494,6.4,59.0,Legally Blonde,2001,96493426,17048308,22790133.679735474,1.3367973924295287
tt0275847,7.3,73.0,Lilo & Stitch,2002,145771527,25089763,33884594.83960949,1.3505346718344644
tt0970866,5.5,27.0,Little Fockers,2010,102576190,13000785,19669451.581975073,1.5129433785709918
