imdb_id,source,rating
tt0397313,Metacritic,64.0
tt0319343,IMDb,7.0
tt0319343,Metacritic,64.0
tt0082340,IMDb,7.2
tt0077523,IMDb,6.3
tt0077523,Metacritic,41.0
tt0116253,IMDb,6.4
tt0116253,Metacritic,62.0
tt3183660,IMDb,7.3
tt3183660,Metacritic,66.0
tt4123430,IMDb,6.5
tt4123430,Metacritic,52.0
tt0983946,IMDb,4.9
tt0983946,Metacritic,22.0
tt6806448,IMDb,6.4
tt6806448,Metacritic,60.0
tt0083929,IMDb,7.2
tt0083929,Metacritic,61.0
tt0093010,IMDb,6.9
tt0093010,Metacritic,67.0
tt0083943,IMDb,6.0
tt0083943,Metacritic,44.0
tt0099582,IMDb,6.6
tt0099582,Metacritic,27.0
tt0119137,IMDb,5.3
tt0119137,Metacritic,37.0
tt0322330,IMDb,6.2
tt0322330,Metacritic,70.0
tt0071521,IMDb,6.6
tt0073018,IMDb,6.8
tt0068611,IMDb,7.4
tt0068611,Metacritic,92.0
tt2294629,IMDb,7.4
tt2294629,Metacritic,75.0
tt2820852,IMDb,7.1
tt5052448,IMDb,7.7
tt5052448,Metacritic,85.0
tt0113161,IMDb,6.9
tt0113161,Metacritic,82.0
tt0087332,IMDb,7.8
tt0087332,Metacritic,71.0
tt0172495,IMDb,8.5
tt0172495,Metacritic,67.0
tt0120685,IMDb,5.4
tt0120685,Metacritic,62.0
tt0831387,IMDb,6.4
tt0831387,Metacritic,62.0
tt5034838,IMDb,6.4
tt5034838,Metacritic,59.0
tt2267998,IMDb,8.099999999999998
tt2267998,Metacritic,79.0
tt0187078,IMDb,6.5
tt0187078,Metacritic,35.0
tt0077631,IMDb,7.2
tt0077631,Metacritic,70.0
tt1375670,IMDb,6.0
tt1375670,Metacritic,19.0
tt2191701,IMDb,5.4
tt2015381,IMDb,8.0
tt0427327,IMDb,6.7
tt0427327,Metacritic,81.0
tt10665338,IMDb,5.7
tt10665338,Metacritic,42.0
tt0295297,IMDb,7.4
tt0295297,Metacritic,63.0
tt0373889,IMDb,7.5
tt0373889,Metacritic,71.0
tt0077663,IMDb,6.9
tt0077663,Metacritic,72.0
tt0071607,IMDb,5.7
tt0071607,Metacritic,49.0
tt0119282,IMDb,7.3
tt0119282,Metacritic,74.0
tt0076138,IMDb,6.1
tt0164052,IMDb,5.8
tt0164052,Metacritic,24.0
tt2224026,IMDb,6.6
tt2224026,Metacritic,73.0
tt5884960,IMDb,8.4
tt5884960,Metacritic,73.0
tt5220122,IMDb,6.3
tt5220122,Metacritic,54.0
tt0892769,IMDb,8.099999999999998
tt0892769,Metacritic,75.0
tt0119345,IMDb,5.7
tt0119345,Metacritic,52.0
tt1667889,IMDb,6.5
tt1667889,Metacritic,49.0
tt2024432,IMDb,5.7
tt2024432,Metacritic,35.0
tt0107206,IMDb,7.2
tt0107206,Metacritic,95.0
tt0107211,IMDb,6.0
tt0107211,Metacritic,35.0
tt0116629,IMDb,7.0
tt0116629,Metacritic,32.0
tt0077745,IMDb,7.4
tt0077745,Metacritic,75.0
tt1396484,IMDb,7.3
tt0073195,IMDb,8.0
tt0073195,Metacritic,87.0
tt0077766,IMDb,5.8
tt1156454,IMDb,4.2
tt0373051,IMDb,5.8
tt7975244,IMDb,6.7
tt7975244,Metacritic,58.0
tt0369610,IMDb,7.0
tt4881806,IMDb,6.2
tt0074751,IMDb,5.9
tt0074751,Metacritic,62.0
tt8946378,IMDb,7.9
tt8946378,Metacritic,82.0
tt0093378,IMDb,6.9
tt0093378,Metacritic,65.0
tt0107362,IMDb,6.4
tt0107362,Metacritic,44.0
tt0250494,IMDb,6.4
tt0250494,Metacritic,59.0
tt0275847,IMDb,7.3
tt0275847,Metacritic,73.0
tt0970866,IMDb,5.5
tt0970866,Metacritic,27.0
tt0070328,IMDb,6.8
tt1392190,IMDb,8.099999999999998
