imdb_id,genre
tt7975244,Comedy
tt0369610,Action
tt0369610,Adventure
tt0369610,Sci-Fi
tt4881806,Action
tt4881806,Adventure
tt4881806,Sci-Fi
tt0074751,Adventure
tt0074751,Horror
tt8946378,Comedy
tt8946378,Crime
tt8946378,Drama
tt0093378,Biography
tt0093378,Drama
tt0093378,Music
tt0107362,Action
tt0107362,Adventure
tt0107362,Comedy
tt0250494,Comedy
tt0250494,Romance
tt0275847,Adventure
tt0275847,Animation
tt0275847,Comedy
tt0970866,Comedy
tt0970866,Romance
tt0070328,Action
tt0070328,Adventure
tt0070328,Thriller
tt1392190,Action
tt1392190,Adventure
tt1392190,Sci-Fi
tt0479952,Adventure
tt0479952,Animation
tt0479952,Comedy
tt0077889,Drama
tt0077889,Horror
tt0070355,Action
tt0070355,Crime
tt0070355,Mystery
tt4777008,Adventure
tt4777008,Family
tt4777008,Fantasy
tt0089560,Biography
tt0089560,Drama
tt0317919,Action
tt0317919,Adventure
tt0317919,Thriller
tt0369735,Comedy
tt0369735,Romance
tt1453405,Adventure
tt1453405,Animation
tt1453405,Comedy
tt0864835,Adventure
tt0864835,Animation
tt0864835,Comedy
tt0120762,Adventure
tt0120762,Animation
tt0120762,Comedy
tt0074937,Comedy
tt0074937,Crime
tt0074937,Mystery
tt0071877,Crime
tt0071877,Drama
tt0071877,Mystery
tt0074958,Drama
tt0102526,Action
tt0102526,Crime
tt0102526,Drama
tt10954652,Drama
tt10954652,Horror
tt10954652,Mystery
tt1114740,Action
tt1114740,Comedy
tt1114740,Crime
tt0091738,Comedy
tt0091738,Drama
tt0091738,Fantasy
tt0089822,Comedy
tt0091777,Comedy
tt0091778,Horror
tt0100404,Mystery
tt0100404,Thriller
tt0110912,Crime
tt0110912,Drama
tt0448694,Adventure
tt0448694,Animation
tt0448694,Comedy
tt5109280,Action
tt5109280,Adventure
tt5109280,Animation
tt1436562,Adventure
tt1436562,Animation
tt1436562,Comedy
tt0107969,Action
tt0107969,Crime
tt0107969,Drama
tt0086200,Comedy
tt0086200,Crime
tt0086200,Drama
tt0257044,Crime
tt0257044,Drama
tt0257044,Thriller
tt0102798,Action
tt0102798,Adventure
tt0102798,Drama
tt0075148,Drama
tt0075148,Sport
tt0084602,Drama
