imdb_id,imdb_rating,metacritic_score,title,year,boxOffice,numTickets
tt0073018,6.7999999999999998,,French Connection II,1975,12000000,5853658
tt0068611,7.4000000000000004,92.0,Frenzy,1972,12600000,7411764
tt2294629,7.4000000000000004,75.0,Frozen,2013,296691729,36493447
tt2820852,7.0999999999999996,,Furious 7,2015,353007020,41875091
tt5052448,7.7000000000000002,85.0,Get Out,2017,175484140,19563449
tt0113161,6.9000000000000004,82.0,Get Shorty,1995,69066951,15877460
tt0087332,7.7999999999999998,71.0,Ghostbusters,1984,220855498,65730802
tt0172495,8.5,67.0,Gladiator,2000,186610052,34621530
tt0120685,5.4000000000000004,62.0,Godzilla,1998,136314294,29064881
tt0831387,6.4000000000000004,62.0,Godzilla,2014,200676069,24562554
tt5034838,6.4000000000000004,59.0,Godzilla vs. Kong,2021,100563133,10978507
tt2267998,8.0999999999999996,79.0,Gone Girl,2014,166197583,20342421
tt0187078,6.5,35.0,Gone in 60 Seconds,2000,101643008,18857700
tt0077631,7.2000000000000002,70.0,Grease,1978,153097492,65426279
tt1375670,6,19.0,Grown Ups,2010,162001186,20532470
tt2191701,5.4000000000000004,,Grown Ups 2,2013,133668525,16441392
tt2015381,8,,Guardians of the Galaxy,2014,333055258,40765637
tt0427327,6.7000000000000002,81.0,Hairspray,2007,118871849,17277885
tt10665338,5.7000000000000002,42.0,Halloween Kills,2021,89699535,9792525
tt0295297,7.4000000000000004,63.0,Harry Potter and the Chamber of Secrets,2002,252097945,43390351
tt0373889,7.5,71.0,Harry Potter and the Order of the Phoenix,2007,292004738,42442549
tt0077663,6.9000000000000004,72.0,Heaven Can Wait,1978,98800000,42222222
tt0071607,5.7000000000000002,49.0,Herbie Rides Again,1974,31765098,16986683
tt0119282,7.2999999999999998,74.0,Hercules,1997,99112101,21593050
tt0076138,6.0999999999999996,,Heroes,1977,33000000,14798206
tt0164052,5.7999999999999998,24.0,Hollow Man,2000,73209340,13582437
tt2224026,6.5999999999999996,73.0,Home,2015,177397510,21043595
tt5884960,8.4000000000000004,73.0,Home,2015,177397510,21043595
tt5220122,6.2999999999999998,54.0,Hotel Transylvania 3: Summer Vacation,2018,167500092,18386398
tt0892769,8.0999999999999996,75.0,How to Train Your Dragon,2010,217581231,27576835
tt0119345,5.7000000000000002,52.0,I Know What You Did Last Summer,1997,70426975,15343567
tt1667889,6.5,49.0,Ice Age: Continental Drift,2012,161204082,20251769
tt2024432,5.7000000000000002,35.0,Identity Thief,2013,134506920,16544516
tt0107206,7.2000000000000002,95.0,In the Line of Fire,1993,102243874,24696587
tt0107211,6,35.0,Indecent Proposal,1993,106614059,25752188
tt0116629,7,32.0,Independence Day,1996,306169255,69269062
tt0077745,7.4000000000000004,75.0,Invasion of the Body Snatchers,1978,24946533,10660911
tt1396484,7.2999999999999998,,It,2017,327481748,36508556
tt0073195,8,87.0,Jaws,1975,260000000,126829268
tt0077766,5.7999999999999998,,Jaws 2,1978,102922376,43983921
tt1156454,4.2000000000000002,,Journey to the Center of the Earth,2008,101704370,14164954
tt0373051,5.7999999999999998,,Journey to the Center of the Earth,2008,101704370,14164954
tt7975244,6.7000000000000002,58.0,Jumanji: The Next Level,2019,235933751,25756959
tt0369610,7,,Jurassic World,2015,652270625,77374926
tt4881806,6.2000000000000002,,Jurassic World: Fallen Kingdom,2018,417719760,45852883
tt0074751,5.9000000000000004,62.0,King Kong,1976,52614445,24701617
tt8946378,7.9000000000000004,82.0,Knives Out,2019,130119450,14205180
tt0093378,6.9000000000000004,65.0,La Bamba,1987,54215416,13865835
tt0107362,6.4000000000000004,44.0,Last Action Hero,1993,50016394,12081254
tt0250494,6.4000000000000004,59.0,Legally Blonde,2001,96493426,17048308
tt0275847,7.2999999999999998,73.0,Lilo & Stitch,2002,145771527,25089763
tt0970866,5.5,27.0,Little Fockers,2010,102576190,13000785
tt0070328,6.7999999999999998,,Live and Let Die,1973,35400000,20000000
tt1392190,8.0999999999999996,,Mad Max: Fury Road,2015,153214368,18174895
tt0479952,6.5999999999999996,61.0,Madagascar: Escape 2 Africa,2008,177016810,24654152
tt0077889,6.7999999999999998,72.0,Magic,1978,23800000,10170940
tt0070355,7.2000000000000002,58.0,Magnum Force,1973,44680473,25243205
tt4777008,6.5999999999999996,43.0,Maleficent: Mistress of Evil,2019,113294737,12368421
tt0089560,7.2000000000000002,56.0,Mask,1985,42417782,11948670
tt0317919,6.9000000000000004,66.0,Mission: Impossible III,2006,133501348,20381885
tt0369735,5.5999999999999996,31.0,Monster-in-Law,2005,82931301,12937800
tt1453405,7.2000000000000002,,Monsters University,2013,268488329,33024394
tt0864835,6.7999999999999998,59.0,Mr. Peabody & Sherman,2014,111506430,13648277
tt0120762,7.5999999999999996,66.0,Mulan,1998,120620254,25718604
tt0074937,7.4000000000000004,62.0,Murder by Death,1976,32511047,15263402
tt0071877,7.2999999999999998,52.0,Murder on the Orient Express,1974,35733867,19109019
tt0074958,8.0999999999999996,,Network,1976,23689877,11122007
tt0102526,6.7000000000000002,,New Jack City,1991,47624253,11312174
tt10954652,5.7999999999999998,77.0,Old,2021,48242510,5266649
tt1114740,5.2000000000000002,13.0,Paul Blart: Mall Cop,2009,146336178,19511490
tt0091738,6.4000000000000004,74.0,Peggy Sue Got Married,1986,39419555,10625216
tt0089822,5.7999999999999998,39.0,Police Academy 2: Their First Assignment,1985,55337042,15587899
tt0091777,5.4000000000000004,33.0,Police Academy 3: Back in Training,1986,43579163,11746405
tt0091778,5.7000000000000002,49.0,Poltergeist II: The Other Side,1986,40996665,11050314
tt0100404,6.9000000000000004,72.0,Presumed Innocent,1990,86303188,20450992
tt0110912,8.9000000000000004,94.0,Pulp Fiction,1994,63660214,15602993
tt0448694,6.5999999999999996,65.0,Puss in Boots,2011,145738327,18378099
tt5109280,7.4000000000000004,75.0,Raya and the Last Dragon,2021,54723032,5974130
tt1436562,6.9000000000000004,63.0,Rio,2011,143619809,18110947
tt0107969,6.2999999999999998,,Rising Sun,1993,63095271,15240403
tt0086200,6.7999999999999998,,Risky Business,1983,63541777,20171992
tt0257044,7.7000000000000002,72.0,Road to Perdition,2002,104054514,17909554
tt0102798,6.9000000000000004,51.0,Robin Hood: Prince of Thieves,1991,165493908,39309716
tt0075148,8.0999999999999996,70.0,Rocky,1976,117235147,55039975
tt0084602,6.7999999999999998,57.0,Rocky III,1982,125049125,42533715
tt3748528,7.7999999999999998,,Rogue One: A Star Wars Story,2016,424987707,49131526
tt0091875,6.5999999999999996,41.0,Running Scared,1986,38500726,10377554
tt0206275,6.2000000000000002,53.0,Save the Last Dance,2001,91038276,16084501
tt0134084,5.5999999999999996,,Scream 3,2000,89138076,16537676
tt0098273,6.7999999999999998,66.0,Sea of Love,1989,58571513,14679577
tt0078227,5.9000000000000004,68.0,Semi-Tough,1977,37187139,16675847
tt0070666,7.7000000000000002,87.0,Serpico,1973,27274150,15409124
tt1000774,5.5999999999999996,,Sex and the City,2008,152647258,21260064
tt0073692,6.4000000000000004,65.0,Shampoo,1975,49407734,24101333
tt0448115,7,71.0,Shazam!,2019,140371656,15324417
tt1515091,7.5,48.0,Sherlock Holmes: A Game of Shadows,2011,136910219,17264845
tt0075222,6.7000000000000002,,Silent Movie,1976,36145695,16969809
tt0105417,6.4000000000000004,51.0,Sister Act,1992,139605150,33639795
tt0069303,7.5999999999999996,80.0,Sounder,1972,16889761,9935153
tt0094012,7.0999999999999996,46.0,Spaceballs,1987,38119483,9749228
tt0114508,5.7999999999999998,19.0,Species,1995,60054449,13805620
tt0145487,7.2999999999999998,73.0,Spider-Man,2002,403706375,69484746
tt6320628,7.4000000000000004,,Spider-Man: Far from Home,2019,390532085,42634507
tt0227538,5.5,,Spy Kids,2001,112692062,19910258
tt0796366,7.9000000000000004,64.0,Star Trek,2009,257730019,34364003
tt0098382,5.5,43.0,Star Trek V: The Final Frontier,1989,52210049,13085225
tt0102975,7.2000000000000002,,Star Trek VI: The Undiscovered Country,1991,70740158,16802887
tt0117731,7.5999999999999996,62.0,Star Trek: First Contact,1996,89187714,20178215
tt0111280,6.5999999999999996,47.0,Star Trek: Generations,1994,71454304,17513309
tt0079945,6.4000000000000004,38.0,Star Trek: The Motion Picture,1979,82258456,32772293
tt0335438,6.0999999999999996,55.0,Starsky & Hutch,2004,88200225,14202934
tt0079948,6.4000000000000004,64.0,Starting Over,1979,38200000,15219123
tt0098384,7.2999999999999998,56.0,Steel Magnolias,1989,50788964,12729063
tt0083131,6.9000000000000004,68.0,Stripes,1981,85300000,30683453
tt0164912,5.9000000000000004,61.0,Stuart Little,1999,79403127,15630536
tt0086383,6.5999999999999996,52.0,Sudden Impact,1983,41852579,13286533
tt1386697,5.9000000000000004,72.0,Suicide Squad,2016,325100054,37583821
tt3263904,7.4000000000000004,74.0,Sully,2016,124976335,14448131
tt0078346,7.2999999999999998,44.0,Superman,1978,40925251,17489424
tt0086393,5,44.0,Superman III,1983,59950623,19031943
tt1291150,5.7999999999999998,40.0,Teenage Mutant Ninja Turtles,2014,191204754,23403274
tt0103060,6,45.0,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,78656813,18683328
tt0181852,6.2999999999999998,66.0,Terminator 3: Rise of the Machines,2003,150358296,24935040
tt0438488,6.5,49.0,Terminator Salvation,2009,125322469,16709663
tt1872181,6.5,,The Amazing Spider-Man 2,2014,202853933,24829122
tt0072653,6.4000000000000004,37.0,The Apple Dumpling Gang,1975,31916500,15569024
tt0074174,7.2999999999999998,65.0,The Bad News Bears,1976,42349782,19882526
tt0115685,7.0999999999999996,72.0,The Birdcage,1996,124060553,28067998
tt0878804,7.5999999999999996,53.0,The Blind Side,2009,208476067,27796809
tt0103855,6.2999999999999998,47.0,The Bodyguard,1992,98542557,23745194
tt0258463,7.9000000000000004,68.0,The Bourne Identity,2002,121468960,20906877
tt0499448,6.5,62.0,The Chronicles of Narnia: Prince Caspian,2008,141621490,19724441
tt0109446,6.7999999999999998,65.0,The Client,1994,92115211,22577257
