title,metacritic_score
Mission: Impossible - Ghost Protocol,73
Sherlock Holmes: A Game of Shadows,48
Super 8,72
Rango,75
Horrible Bosses,57
Green Lantern,39
The King's Speech,88
Hop,90
Toy Story 3,92
Avatar,83
Alice in Wonderland,53
Iron Man 2,57
The Twilight Saga: Eclipse,58
Inception,74
Harry Potter and the Deathly Hallows: Part I,85
Despicable Me,49
Shrek Forever After,58
How to Train Your Dragon,75
The Karate Kid,60
Tangled,71
Clash of the Titans,39
Grown Ups,19
Megamind,63
The Last Airbender,20
Tron: Legacy,49
Shutter Island,63
The Other Guys,64
Salt,65
Jackass 3D,
Valentine's Day,17
Robin Hood,32
The Expendables,35
Little Fockers,27
Transformers: Revenge of the Fallen,35
Avatar,83
Harry Potter and the Half-Blood Prince,78
Up,62
The Twilight Saga: New Moon,44
The Hangover,73
Star Trek,68
The Blind Side,53
Monsters vs. Aliens,56
Ice Age: Dawn of the Dinosaurs,50
X-Men Origins: Wolverine,40
Night at the Museum: Battle of the Smithsonian,42
The Proposal,48
2012,49
Alvin and the Chipmunks: The Squeakquel,41
Fast & Furious,58
G.I. Joe: The Rise of Cobra,32
Paul Blart: Mall Cop,13
Taken,51
Sherlock Holmes,57
Gran Torino,72
Disney's A Christmas Carol,
Angels & Demons,48
Terminator Salvation,49
Cloudy with a Chance of Meatballs,66
The Dark Knight,84
Iron Man,79
Indiana Jones and the Kingdom of the Crystal Skull,65
Hancock,49
WALL-E,95
Kung Fu Panda,74
Madagascar: Escape 2 Africa,61
Twilight,56
Quantum of Solace,58
Horton Hears a Who,71
Sex and the City,53
Mamma Mia!,60
The Chronicles of Narnia: Prince Caspian,62
The Incredible Hulk,61
Wanted,64
Get Smart,54
Four Christmases,41
Juno,81
Tropic Thunder,71
Bolt,67
Marley & Me,53
The Mummy: Tomb of the Dragon Emperor,31
Journey to the Center of the Earth,57
Eagle Eye,43
Step Brothers,51
Spider-Man 3,59
Shrek the Third,58
Transformers,27
Pirates of the Caribbean: At World's End,50
Harry Potter and the Order of the Phoenix,71
The Bourne Ultimatum,85
300,52
Ratatouille,96
I am Legend,65
The Simpsons Movie,80
National Treasure: Book of Secrets,48
Wild Hogs,27
Alvin and the Chipmunks,39
Knocked Up,85
Rush Hour 3,44
Night at the Museum,48
Live Free or Die Hard,69
Fantastic Four: Rise of the Silver Surfer,45
American Gangster,76
Bee Movie,54
Superbad,76
Enchanted,75
I Now Pronounce You Chuck and Larry,37
Hairspray,81
Blades of Glory,64
Pirates of the Caribbean: Dead Man's Chest,53
Cars,59
X-Men: The Last Stand,58
The Da Vinci Code,46
Superman Returns,72
Ice Age: The Meltdown,60
Happy Feet,77
Over the Hedge,67
Casino Royale,80
Talladega Nights: The Ballad of Ricky Bobby,66
Click,45
Mission: Impossible III,66
Borat,89
The Devil Wears Prada,62
The Departed,85
The Break-Up,45
Night at the Museum,48
The Pursuit of Happyness,64
Scary Movie 4,40
Failure to Launch,47
Inside Man,76
Open Season,49
The Santa Clause 3: The Escape Clause,32
The Pink Panther,55
Eight Below,64
Star Wars Ep. III: Revenge of the Sith,
Harry Potter and the Goblet of Fire,81
War of the Worlds,73
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,75
Wedding Crashers,64
Charlie and the Chocolate Factory,72
Batman Begins,70
Madagascar,60
Mr. and Mrs. Smith,55
Hitch,63
King Kong,81
The Longest Yard,48
Fantastic Four,27
Chicken Little,48
Robots,64
Meet the Fockers,41
The Pacifier,30
The 40 Year-old Virgin,73
Million Dollar Baby,86
Walk the Line,72
Flightplan,53
Saw II,40
Monster-in-Law,31
Are We There Yet?,
The Dukes of Hazzard,33
Shrek 2,75
Spider-Man 2,83
The Passion of the Christ,47
The Incredibles,80
Harry Potter and the Prisoner of Azkaban,82
The Day After Tomorrow,47
The Bourne Supremacy,73
Meet the Fockers,41
Shark Tale,48
The Polar Express,61
National Treasure,39
I, Robot,59
Troy,56
50 First Dates,48
Van Helsing,35
Fahrenheit 9/11,
Dodgeball: A True Underdog Story,55
The Village,44
The Grudge,48
Ocean's Twelve,58
Collateral,23
The Princess Diaries 2: Royal Engagement,43
Lemony Snicket's A Series of Unfortunate Events,62
Starsky & Hutch,55
Along Came Polly,44
Finding Nemo,90
Pirates of the Caribbean: The Curse of the Black Pearl,63
The Lord of the Rings: The Return of the King,94
The Matrix Reloaded,62
Bruce Almighty,46
X-Men 2,
Elf,64
Chicago,76
Terminator 3: Rise of the Machines,66
Bad Boys II,38
The Matrix Revolutions,47
Anger Management,52
Bringing Down the House,39
Hulk,61
2 Fast 2 Furious,38
Seabiscuit,72
S.W.A.T.,45
Spy Kids 3-D: Game Over,57
Freaky Friday,70
Scary Movie 3,49
The Italian Job,68
How to Lose a Guy in 10 Days,45
American Wedding,43
Daddy Day Care,39
Daredevil,42
Spider-Man,73
Star Wars Ep. II: Attack of the Clones,
The Lord of the Rings: The Two Towers,87
Harry Potter and the Chamber of Secrets,63
My Big Fat Greek Wedding,37
Signs,59
Austin Powers in Goldmember,62
Men in Black 2,
Ice Age,34
Die Another Day,56
Scooby-Doo,35
Lilo & Stitch,73
xXx,42
The Santa Clause 2,48
A Beautiful Mind,72
Minority Report,80
The Ring,71
Mr. Deeds,24
Sweet Home Alabama,45
The Bourne Identity,68
The Sum of All Fears,45
8 Mile,77
Black Hawk Down,74
The Lord of the Rings: The Fellowship of the Ring,92
Road to Perdition,72
Harry Potter and the Sorcerer's Stone,65
Shrek,84
Monsters, Inc.,79
Rush Hour 2,48
The Lord of the Rings: The Fellowship of the Ring,92
The Mummy Returns,48
Pearl Harbor,44
Jurassic Park III,42
Planet of the Apes,82
Hannibal,57
Ocean's Eleven,74
American Pie 2,43
The Fast and the Furious,58
Lara Croft: Tomb Raider,33
